id;name;acctcode
IGU4120004;[4120004] RETUR PENJUALAN SEAFOOD;4120004
IGU4120005;[4120005] RETUR PENJUALAN GROCERY;4120005
IGU4120006;[4120006] RETUR PENJUALAN CONDIMENT n SAUCE;4120006
IGU4120007;[4120007] RETUR PENJUALAN VEGETABLES;4120007
IGU4120008;[4120008] RETUR PENJUALAN DAIRY PRODUCTS;4120008
IGU4120009;[4120009] RETUR PENJUALAN BEVERAGES;4120009
IGU4120010;[4120010] RETUR PENJUALAN PASTRY;4120010
IGU4120011;[4120011] RETUR PENJUALAN BAKERY;4120011
IGU4120012;[4120012] RETUR PENJUALAN NON FOOD;4120012
IGU4120013;[4120013] RETUR PENJUALAN CONFECTIONERY;4120013
IGU4130001;[4130001] DISKON PENJUALAN MEAT;4130001
IGU4130002;[4130002] DISKON PENJUALAN DELICATESSENS;4130002
IGU4130003;[4130003] DISKON PENJUALAN POULTRY;4130003
IGU4130004;[4130004] DISKON PENJUALAN SEAFOOD;4130004
IGU4130005;[4130005] DISKON PENJUALAN GROCERY;4130005
IGU4130006;[4130006] DISKON PENJUALAN CONDIMENT n SAUCE;4130006
IGU4130007;[4130007] DISKON PENJUALAN VEGETABLES;4130007
IGU4130008;[4130008] DISKON PENJUALAN DAIRY PRODUCTS;4130008
IGU4130009;[4130009] DISKON PENJUALAN BEVERAGES;4130009
IGU4130010;[4130010] DISKON PENJUALAN PASTRY;4130010
IGU4130011;[4130011] DISKON PENJUALAN BAKERY;4130011
IGU4130012;[4130012] DISKON PENJUALAN NON FOOD;4130012
IGU4130013;[4130013] DISKON PENJUALAN CONFECTIONERY;4130013
IGU5110001;[5110001] HPP MEAT;5110001
IGU5110002;[5110002] HPP DELICATESSENS;5110002
IGU5110003;[5110003] HPP POULTRY;5110003
IGU5110004;[5110004] HPP SEAFOOD;5110004
IGU5110005;[5110005] HPP GROCERY;5110005
IGU5110006;[5110006] HPP CONDIMENT n SAUCE;5110006
IGU5110007;[5110007] HPP VEGETABLES;5110007
IGU5110008;[5110008] HPP DAIRY PRODUCTS;5110008
IGU5110009;[5110009] HPP BEVERAGES;5110009
IGU5110010;[5110010] HPP PASTRY;5110010
IGU5110011;[5110011] HPP BAKERY;5110011
IGU5110012;[5110012] HPP NON FOOD;5110012
IGU5110013;[5110013] HPP CONFECTIONERY;5110013
IGU5210001;[5210001] HPP REVALUATION;5210001
IGU5210002;[5210002] EXPENSE ACCOUNT;5210002
IGU5210003;[5210003] PRICE DIFFERENCE;5210003
IGU6110001;[6110001] BIAYA SAMPLE;6110001
IGU6110002;[6110002] BIAYA REBATE;6110002
IGU6115001;[6115001] BIAYA PROMOSI;6115001
IGU6120001;[6120001] BENSIN/SOLAR/OLI/TAXI;6120001
IGU6120002;[6120002] PARKIR/TOL/KARANTINA;6120002
IGU6120003;[6120003] BY. PENGIRIMAN DALAM DAN LUAR KOTA;6120003
IGU6120004;[6120004] BIAYA KENDARAAN;6120004
IGU6120005;[6120005] BIAYA PENGIRIMAN LUAR KOTA EXPEDISI;6120005
IGU6125001;[6125001] BIAYA PENGEPAKAN;6125001
IGU6125002;[6125002] BIAYA POTONG;6125002
IGU6130001;[6130001] BY. PERJALANAN DINAS;6130001
IGU6135001;[6135001] BIAYA KOMISI PENJUALAN;6135001
